履修期名,曜日,1,2,3,4,5,6,科目名,特記事項,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教室,教室,教室,教室,教室,教室,教室,教室,教室,教室,
後期,月,,○,,,,,スポーツⅡ,競技：サッカー,鈴木　功士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：テニス,髙橋　亮輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：バドミントン・卓球,安住　文子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：ニュースポーツ,沖　和磨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：ゴルフ,東中　友哉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,英語特殊講義A,,秋庭　大悟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
前期,月,,○,,,,,心理学,Ⅱ群,伊藤　令枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,
前期,月,,○,,,,,English Communication Ⅰ,,R･C・Lavey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
前期,月,,○,,,,,English Communication Ⅰ,,IAN EDWARD ELLSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
後期,月,,○,,,,,心理学,Ⅱ群,伊藤　令枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,
後期,月,,○,,,,,English Communication Ⅱ,,R･C・Lavey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
後期,月,,○,,,,,English Communication Ⅱ,,IAN EDWARD ELLSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,水戸　俊介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S201,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,冨樫　壮央,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,金子　利雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,小中　秀彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,鈴木　孝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,ｼﾞｮﾅｻﾝ･ﾊﾘｿﾝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S405,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,髙坂　映子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,鷲尾　郁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
後期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,水戸　俊介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
後期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,金子　利雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
後期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,ｼﾞｮﾅｻﾝ･ﾊﾘｿﾝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S405,,,,,,,,,,
後期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,鷲尾　郁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
年間隔週,月,,,○,○,,,基礎物理学実験,年間隔週授業,岡田　悟志,坂元　啓紀,植村　千尋,秋葉　昭太,安田　健人,井口　英雄,,,,,,,,,,,,,,,,,,,,,,,,,,,105(第5物理実験室A),106(第5物理実験室B),113(物理第四実験室),134(物理第三実験室),143(物理第一実験室),144(物理第二実験室),,,,,
前期,月,,,,○,,,関数論Ⅰ,,梅田　耕平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,
後期,月,,,,○,,,関数論Ⅱ,,梅田　耕平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,
前期,月,,,,,○,,日本国憲法,Ⅰ群,天野　聖悦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,,,,,,,,,,
前期,月,,,,,○,,日本語表現の基礎,Ⅱ群,市川　浩昭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,,,,,,,,,,
前期,月,,,,,○,,技術者倫理,Ⅲ群,勢力　尚雅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
後期,月,,,,,○,,法学,Ⅰ群,天野　聖悦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,,,,,,,,,,
後期,月,,,,,○,,日本語表現の基礎,Ⅱ群,市川　浩昭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,,,,,,,,,,
後期,月,,,,,○,,科学技術と人間,Ⅲ群,勢力　尚雅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
後期,月,,,,,○,,科学技術と経済,Ⅲ群,藤木　秀明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,
後期,月,,,,,○,,科学技術史,Ⅲ群／オンライン授業（オンデマンド）,雨宮　高久,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,月,,,,,○,,熱とエントロピーの物理学,,鈴木　徳一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
前期,月,,,,,○,,物理学Ⅱ,再履修用科目,秋葉　昭太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
前期,月,,,,,○,,学）博物館情報・メディア論,,山本　和清,門馬　英一郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458,,,,,,,,,,
前期,月,,,,,○,,科学技術史,Ⅲ群,雨宮　高久,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852,,,,,,,,,,
前期,月,,,,,○,,熱とエントロピーの物理学,,大塚　隆巧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S504,,,,,,,,,,
前期,月,,,,,○,,数理統計学Ⅰ,,安部　公輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S201,,,,,,,,,,
前期,月,,,,,○,,物質の構造と状態,,村上　雅彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
前期,月,,,,,○,,物理学Ⅱ演習,,瀧　哲朗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,
前期,月,,,,,○,,教）発達と学習,,伊藤　令枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,
後期,月,,,,,○,,電気と磁気の物理学,,大塚　隆巧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S504,,,,,,,,,,
後期,月,,,,,○,,数理統計学Ⅱ,,安部　公輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S201,,,,,,,,,,
後期,月,,,,,○,,物質の構造と状態,,村上　雅彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
後期,月,,,,,○,,教）教育相談,,伊藤　令枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,
前期,月,,,,,,○,日本の科学技術(留),オンライン授業（オンデマンド）,伊藤　賢一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,月,,,,,,○,日本の文化(留）,オンライン授業（オンデマンド）,岸　規子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,火,,○,,,,,関数論Ⅰ,,山崎　晋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
後期,火,,○,,,,,関数論Ⅱ,,山崎　晋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
前期,火,,,○,,,,感性芸術学,Ⅱ群,今村　淳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,,,,,,,,,,
前期,火,,,○,,,,哲学,Ⅱ群,谷田　雄毅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,,,,,,,,,,
前期,火,,,○,,,,科学技術と人間,Ⅲ群,佐々木　慎吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
前期,火,,,○,,,,技術者倫理,Ⅲ群,壁谷　彰慶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,,,,,,,,,,
前期,火,,,○,,,,科学技術と経済,Ⅲ群,藤木　秀明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,,,,,,,,,,
前期,火,,,○,,,,知的財産権論,Ⅲ群／オンライン授業（オンデマンド）,三村　淳一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,火,,,○,,,,地理学,,梶山　貴弘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
後期,火,,,○,,,,哲学,Ⅱ群,壁谷　彰慶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,,,,,,,,,,
後期,火,,,○,,,,感性芸術学,Ⅱ群,今村　淳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
後期,火,,,○,,,,日本語表現の基礎,Ⅱ群,石尾　奈智子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,,,,,,,,,,
後期,火,,,○,,,,技術者倫理,Ⅲ群,勢力　尚雅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,,,,,,,,,,
後期,火,,,○,,,,科学技術と人間,Ⅲ群,雨宮　久美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,,,,,,,,,,
後期,火,,,○,,,,自然環境論,,梶山　貴弘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
前期,火,,,○,,,,微分方程式Ⅰ,,梅田　耕平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
前期,火,,,,○,,,倫理学,Ⅰ群,勢力　尚雅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
前期,火,,,,○,,,文学,Ⅰ群,石尾　奈智子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,,,,,,,,,,
前期,火,,,,○,,,社会学,Ⅰ群,宮崎　智絵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,,,,,,,,,,
前期,火,,,,○,,,日本国憲法,Ⅰ群,天野　聖悦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,,,,,,,,,,
前期,火,,,,○,,,ことばと文化,Ⅰ群,岸　規子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,
後期,火,,,,○,,,倫理学,Ⅰ群,佐々木　慎吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
後期,火,,,,○,,,歴史学,Ⅰ群,青木　学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,,,,,,,,,,
後期,火,,,,○,,,ことばと文化,Ⅰ群,岸　規子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,,,,,,,,,,
後期,火,,,,○,,,法学,Ⅰ群,天野　聖悦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,,,,,,,,,,
後期,火,,,,○,,,経済学,Ⅰ群,藤木　秀明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,
前期,火,,,,○,,,英語特殊講義A,,乙黒　麻記子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
前期,火,,,,○,,,微分積分学Ⅰ,,山崎　晋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
後期,火,,,,○,,,微分積分学Ⅱ,,山崎　晋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
前期,火,,,,,○,,科学技術と経済,Ⅲ群,藤木　秀明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,,,,,,,,,,
前期,火,,,,,○,,総合講座,人工知能との共生のかたちを考える,勢力　尚雅,高橋　聖,天野　聖悦,齊藤　健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
前期,火,,,,,○,,心理学,Ⅱ群,伊藤　令枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
後期,火,,,,,○,,経済学,Ⅰ群,藤木　秀明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,
後期,火,,,,,○,,日本語表現の基礎,Ⅱ群,岸　規子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,,,,,,,,,,
後期,火,,,,,○,,科学技術史,Ⅲ群／オンライン授業（オンデマンド）,小島　智恵子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,火,,,,,○,,総合講座,人工知能との共生のかたちを考える,勢力　尚雅,高橋　聖,天野　聖悦,齊藤　健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,,,,,,,,,,
後期,火,,,,,○,,総合講座,環境と人間,柴山　英樹,伊藤　賢一,梶山　貴弘,勝木　厚成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
後期,火,,,,,○,,心理学,Ⅱ群,伊藤　令枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
後期,火,,,,,○,,教）生徒指導・進路指導論,,藤田  耕平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424,,,,,,,,,,
後期,火,,,,,○,,物理学Ⅰ演習,再履修用科目,松尾　洋介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
前期,火,,,,,○,,現代物理学,Ⅲ群,粟生田　健一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,
前期,火,,,,,○,,物質の変化と性質,,小林　令子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
後期,木,,,,,,○,学）博物館教育論,,江水　是仁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
後期,火,,,,,○,,教）数学科教育法Ⅳ,学科の指定なし,鈴木　潔光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S501,,,,,,,,,,
夏季集中講義,土,,,,,○,,学）博物館展示論,,今西　諒太,安福　紘大,伊豆原　月絵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
前期,火,,,,,,○,学）博物館資料論,,守重　信郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
前期,水,,○,,,,,健康の科学,,北村　勝朗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S505,,,,,,,,,,
後期,水,,○,,,,,健康の科学,,北村　勝朗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S402,,,,,,,,,,
前期,水,,○,,,,,英語特殊講義A,電気，数学 履修推奨時限,ｼﾞｮｾﾌ･ｼﾞｪｲﾑｽﾞ･ﾌｧﾗｳﾄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S201,,,,,,,,,,
前期,水,,○,,,,,英語特殊講義A,電気，数学 履修推奨時限,手島　敬子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,
前期,水,,○,,,,,英語特殊講義B,電気，数学 履修推奨時限,鈴木　孝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S403,,,,,,,,,,
前期,水,,○,,,,,英語特殊講義B,電気，数学 履修推奨時限,ｼﾞｮﾅｻﾝ･ﾊﾘｿﾝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,
前期,水,,○,,,,,英語特殊講義B,電気，数学 履修推奨時限,加藤　遼子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,
後期,水,,○,,,,,英語特殊講義A,電気，数学 履修推奨時限,ｼﾞｮｾﾌ･ｼﾞｪｲﾑｽﾞ･ﾌｧﾗｳﾄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S201,,,,,,,,,,
後期,水,,○,,,,,英語特殊講義B,電気，数学 履修推奨時限,加藤　遼子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,
前期,水,,,○,,,,自然環境論,Ⅲ群,梶山　貴弘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,
後期,水,,,○,,,,地理学,Ⅲ群,梶山　貴弘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
前期,水,,,,○,,,ドイツ語Ⅰ,,時田　伊津子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,,,,,,,,,,
前期,水,,,,○,,,ドイツ語Ⅰ,,石山　晃一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233,,,,,,,,,,
前期,水,,,,○,,,ドイツ語Ⅰ,,川上　博子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,
前期,水,,,,○,,,フランス語Ⅰ,,石部　尚登,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,,,,,,,,,,
前期,水,,,,○,,,中国語Ⅰ,,賈　昕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,,,,,,,,,,
前期,水,,,,○,,,中国語Ⅰ,,大山　昌道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
前期,水,,,,○,,,中国語Ⅰ,,郭　海燕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,
後期,水,,,,○,,,ドイツ語Ⅱ,,時田　伊津子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,,,,,,,,,,
後期,水,,,,○,,,ドイツ語Ⅱ,,石山　晃一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233,,,,,,,,,,
後期,水,,,,○,,,ドイツ語Ⅱ,,川上　博子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,
後期,水,,,,○,,,フランス語Ⅱ,,石部　尚登,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,,,,,,,,,,
後期,水,,,,○,,,中国語Ⅱ,,賈　昕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,,,,,,,,,,
後期,水,,,,○,,,中国語Ⅱ,,大山　昌道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
後期,水,,,,○,,,中国語Ⅱ,,郭　海燕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,
前期,水,,,,○,,,微分積分学Ⅰ,,江村　剛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,
前期,水,,,,○,,,English Communication Ⅰ,,RobertJason Veenstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S402,,,,,,,,,,
後期,水,,,,○,,,微分積分学Ⅱ,,江村　剛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,
後期,水,,,,○,,,English Communication Ⅱ,,RobertJason Veenstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S402,,,,,,,,,,
前期,水,,,,,○,,地球環境化学,Ⅲ群,伊藤　賢一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142,,,,,,,,,,
前期,水,,,,,○,,教養基礎ゼミナール,「子ども」について考える,柴山　英樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,
前期,水,,,,,○,,教養基礎ゼミナール,「宇宙の物理」入門,井口　英雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,,,,,,,,,,
前期,月,,,,,○,,熱とエントロピーの物理学,,大谷　聡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,,,,
