履修期名,曜日,1,2,3,4,5,6,科目名,特記事項,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教室,教室,教室,教室,教室,教室,教室,教室,教室,教室,
前期,金,,,,,○,,学）博物館情報・メディア論,,山本　和清,門馬　英一郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S603,,,,,,,,,,
後期,金,,,,,○,,文学,Ⅰ群,岸　規子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
後期,金,,,,,○,,線形代数学Ⅱ,,齋藤　洋樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S204,,,,,,,,,,
後期,金,,,,,○,,力と運動の物理学Ⅰ,再履修用科目,佐々木　淳子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
前期,金,,,,,,○,日本語Ⅰ(留）,オンライン授業（オンデマンド）,柳　武司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,金,,,,,,○,日本語Ⅱ(留）,オンライン授業（オンデマンド）,柳　武司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,金,,,,,,○,学）生涯学習概論,,守重　信郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,,,,
前期,金,,,,,,○,教）情報科教育法Ⅰ,,笹川　清喜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S502,,,,,,,,,,
後期,金,,,,,,○,教）情報科教育法Ⅱ,,笹川　清喜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S502,,,,,,,,,,
前期,土,○,,,,,,教）特別支援教育概論,,水口　進,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,,,,,,,,,,
後期,土,○,,,,,,英語特殊講義A,オンライン授業（オンデマンド）,秋庭　大悟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,○,,,,,,英語特殊講義B,オンライン授業（オンデマンド）,丸　聡弘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,○,,,,,,ドイツ語Ⅰ,オンライン授業（オンデマンド）,時田　伊津子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,○,,,,,,フランス語Ⅰ,オンライン授業（オンデマンド）,石部　尚登,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,○,,,,,,中国語Ⅰ,オンライン授業（オンデマンド）,本間　直人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,○,,,,,,英語ⅠA,再履修用科目,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,
前期,土,○,,,,,,英語ⅡA,再履修用科目,森　晴代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,
前期,土,○,,,,,,教）教育課程論,,黒田　友紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
後期,土,○,,,,,,ドイツ語Ⅱ,オンライン授業（オンデマンド）,時田　伊津子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,○,,,,,,フランス語Ⅱ,オンライン授業（オンデマンド）,石部　尚登,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,○,,,,,,中国語Ⅱ,オンライン授業（オンデマンド）,本間　直人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,○,,,,,,英語ⅡB,再履修用科目,森　晴代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
後期,土,○,,,,,,英語ⅠB,再履修用科目,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
後期,土,○,,,,,,教）教育方法・ICT活用論,"令和４年度以降入学者用科目
令和４年度以降の編入学者及び科目等履修生用科目",柴山　英樹,黒田　友紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S404,,,,,,,,,,
前期,土,○,,,,,,法学,Ⅰ群／オンライン授業（オンデマンド）,天野　聖悦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,○,,,,,,クリティカル・シンキング,Ⅱ群／オンライン授業（オンデマンド）,島村　修平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,○,,,,,,英語ⅠA,再履修用科目／オンライン授業（オンデマンド）,北原　安治,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,○,,,,,,歴史学,Ⅰ群／オンライン授業（オンデマンド）,藤島　幸彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,○,,,,,,クリティカル・シンキング,Ⅱ群／オンライン授業（オンデマンド）,島村　修平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,○,,,,,,感性芸術学,Ⅱ群／オンライン授業（オンデマンド）,勢力　尚雅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,○,,,,,,英語ⅠB,再履修用科目／オンライン授業（オンデマンド）,北原　安治,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,○,,,,,,教）特別支援教育概論,,水口　進,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S504,,,,,,,,,,
後期,土,○,,,,,,教）教育の方法・技術論,令和３年度以前入学者用科目,柴山　英樹,黒田　友紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S404,,,,,,,,,,
前期,土,,○,,,,,教）教育相談,,水口　進,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,,,,,,,,,,
前期,土,,○,,,,,英語ⅡA,再履修用科目,森　晴代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,
前期,土,,○,,,,,英語ⅠA,再履修用科目,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,
前期,土,,○,,,,,教）道徳教育の理論と方法,,柴山　英樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,
前期,土,,○,,,,,教）教育制度論,,黒田　友紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
後期,木,,,,,○,,学）博物館資料保存論,,江水　是仁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
後期,土,,○,,,,,英語ⅡB,再履修用科目,森　晴代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
後期,土,,○,,,,,英語ⅠB,再履修用科目,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
後期,土,,○,,,,,教）教育相談,,水口　進,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S504,,,,,,,,,,
前期,土,,○,,,,,感性芸術学,Ⅱ群／オンライン授業（オンデマンド）,奥波　一秀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,○,,,,,クリティカル・シンキング,Ⅱ群／オンライン授業（オンデマンド）,島村　修平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,○,,,,,英語ⅡA,再履修用科目／オンライン授業（オンデマンド）,北原　安治,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,○,,,,,倫理学,Ⅰ群／オンライン授業（オンデマンド）,勢力　尚雅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,○,,,,,クリティカル・シンキング,Ⅱ群／オンライン授業（オンデマンド）,島村　修平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,○,,,,,英語ⅡB,再履修用科目／オンライン授業（オンデマンド）,北原　安治,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,○,,,,教）現代教職論,,黒田　友紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,,,,,,,,,,
後期,土,,,○,,,,教）道徳教育の理論と方法,,三ツ木　純子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,,,,
前期,土,,,○,,,,英語ⅠA,再履修用科目,藤木　智子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,
前期,土,,,○,,,,英語ⅢA,,森　晴代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,
前期,土,,,○,,,,教）教育原論,,柴山　英樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,
前期,土,,,○,,,,教）教育制度論,,黒田　友紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,
後期,土,,,○,,,,英語ⅠB,再履修用科目,藤木　智子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
後期,土,,,○,,,,英語ⅢB,,森　晴代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
後期,土,,,○,,,,教）現代教職論,,柴山　英樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S504,,,,,,,,,,
前期,土,,,○,,,,歴史学,Ⅰ群／オンライン授業（オンデマンド）,藤島　幸彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,○,,,,経済学,Ⅰ群／オンライン授業（オンデマンド）,高橋　宏幸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,○,,,,クリティカル・シンキング,Ⅱ群／オンライン授業（オンデマンド）,島村　修平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,○,,,,技術者倫理,Ⅲ群／オンライン授業（オンデマンド）,勢力　尚雅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,○,,,,経済学,Ⅰ群／オンライン授業（オンデマンド）,高橋　宏幸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,○,,,,日本国憲法,Ⅰ群／オンライン授業（オンデマンド）,天野　聖悦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,○,,,,科学技術と人間,Ⅲ群／オンライン授業（オンデマンド）,島村　修平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,,○,,,教）現代教職論,,黒田　友紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,,,,
後期,土,,,,○,,,教）道徳教育の理論と方法,,三ツ木　純子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,,,,,,,,,,
前期,土,,,,○,,,英語ⅡA,再履修用科目,藤木　智子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,
前期,土,,,,○,,,教）教育原論,,柴山　英樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,
後期,土,,,,○,,,英語ⅡB,再履修用科目,藤木　智子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
前期,土,,,,○,,,英語ⅠA,再履修用科目／オンライン授業（オンデマンド）,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,,○,,,英語ⅢA,オンライン授業（オンデマンド）,森　晴代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,,○,,,教）生徒指導・進路指導論,,宮古　紀宏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
後期,土,,,,○,,,英語ⅠB,再履修用科目／オンライン授業（オンデマンド）,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,,○,,,英語ⅢB,オンライン授業（オンデマンド）,森　晴代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,,,○,,自主創造の基礎,再履修用科目／オンライン授業（オンデマンド）,髙橋　亮輔,中村　文紀,米田　哲也,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
夏季集中講義,土,,,,,○,,スポーツⅢ,夏季集中授業（8/25～8/29〔予定〕）／ゴルフ／履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。／授業日程により，今年度９月卒業予定の学生は履修できない場合がある。,髙橋　亮輔,沖　和磨,森長　正樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
夏季集中講義,土,,,,,○,,スポーツⅢ,夏季集中授業（9/7～9/10〔予定〕）／キャンプ／履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。／授業日程により，今年度９月卒業予定の学生は履修できない場合がある。,重城　哲,安住　文子,鈴木　功士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
夏季集中講義,土,,,,,○,,教）教育方法・ICT活用論,夏季集中授業（詳細な日程は別途掲示）／令和４年度以降の入学者，編入学者及び科目等履修生用科目／履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。,仲　久徳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
夏季集中講義,土,,,,,○,,教）特別活動・総合的な学習の時間の指導法,夏季集中授業（詳細な日程は別途掲示）／履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。,若林　匡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,土,,,,,○,,健康の科学,オンライン授業（オンデマンド）,安住　文子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
春季集中講義,土,,,,,○,,スポーツⅢ,春季集中授業（2/14，2/19～2/21〔予定〕）／ニュースポーツ／履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。／授業日程により，今年度３月卒業予定の学生は履修できない場合がある。,沖　和磨,髙橋　亮輔,三木　二郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
春季集中講義,土,,,,,○,,スポーツⅢ,春季集中授業（2/3～2/6〔予定〕）／スキー／履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。／授業日程により，今年度３月卒業予定の学生は履修できない場合がある。,重城　哲,北村　勝朗,鈴木　功士,服部　英恵,雪吹　誠,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,土,,,,,○,,学）博物館実習B（実務）,,佐藤　慎也,河合　晴香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
夏季集中講義,土,,,,,○,,教）教育の方法・技術論,夏季集中授業（詳細な日程は別途掲示）／令和３年度以前入学者用科目／履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。,仲　久徳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,土,,,,,○,,自主創造の基礎２,再履修用科目／令和３年度以前入学者のみ履修できる科目／オンライン授業（オンデマンド）,坂元　啓紀,沖　和磨,柳　武司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
夏季集中講義,土,,,,,○,,教）数学科教育法Ⅰ,夏季集中授業（詳細な日程は別途掲示）／数学科以外学生用／履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。,相田　紘孝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
前期,土,,,,,○,,英語ⅡA,再履修用科目／オンライン授業（オンデマンド）,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,,,○,,English Communication Ⅰ,オンライン授業（オンデマンド）,Ｒ．Ｈ．ジョーンズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,,,○,,English Communication Ⅱ,オンライン授業（オンデマンド）,Ｒ．Ｈ．ジョーンズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,,,○,,英語ⅡB,再履修用科目／オンライン授業（オンデマンド）,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
年間集中(資),土,,,,,○,,教）教育実習Ⅰ,履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。,柴山　英樹,黒田　友紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
年間集中(資),土,,,,,○,,教）教育実習Ⅱ,履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。,柴山　英樹,黒田　友紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
年間集中(資),土,,,,,○,,教）教育実習事前・事後指導,３年次後期（11月）から実施／教育実習を実施する年度に履修登録すること／履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。,大久保　尚紀,久保田　直樹,齋藤　洋樹,大越　健斗　,柴山　英樹,黒田　友紀,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
年隔集中(資),土,,,,,○,,学）博物館実習C（館園）,履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。,伊豆原　月絵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期集中(資),土,,,,,○,,教）教職実践演習（中・高）,集中授業（詳細な日程は別途掲示）／履修登録の際は，左記の曜日・時限のコマから当該科目を選択すること。,大久保　尚紀,柴山　英樹,黒田　友紀,大越　健斗　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,土,,,,,○,,日本を考える,再履修用科目／令和３年度以前入学者のみ履修できる科目／オンライン授業（オンデマンド）,中村　文紀,髙橋　亮輔,米田　哲也,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,,,,○,スポーツⅠ,再履修用科目／オンライン授業（オンデマンド）,三木　二郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,,,,○,自主創造の基礎１,再履修用科目／令和３年度以前入学者のみ履修できる科目／オンライン授業（オンデマンド）,武村　一雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,,,,○,日本を考える,再履修用科目／令和３年度以前入学者のみ履修できる科目／オンライン授業（オンデマンド）,中村　文紀,髙橋　亮輔,米田　哲也,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,,,,○,自主創造の基礎,再履修用科目／オンライン授業（オンデマンド）,髙橋　亮輔,中村　文紀,大宅　淳一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,,,,○,English Communication Ⅰ,オンライン授業（オンデマンド）,Ｒ．Ｈ．ジョーンズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,,,,○,英語ⅢA,オンライン授業（オンデマンド）,森　晴代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,,,,○,English Communication Ⅱ,オンライン授業（オンデマンド）,Ｒ．Ｈ．ジョーンズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,,,,○,英語ⅢB,オンライン授業（オンデマンド）,森　晴代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,,,,○,英語特殊講義A,オンライン授業（オンデマンド）,秋庭　大悟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,,,,○,英語特殊講義B,オンライン授業（オンデマンド）,丸　聡弘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
前期,土,,,,,,○,自主創造の基礎１,再履修用科目／令和３年度以前入学者のみ履修できる科目／オンライン授業（オンデマンド）,武村　一雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,
後期,土,,,,,,○,自主創造の基礎２,再履修用科目／令和３年度以前入学者のみ履修できる科目／オンライン授業（オンデマンド）,坂元　啓紀,沖　和磨,柳　武司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,,,,,,,